what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1308930966095
arch,sysinfo,,,"x86",1308930966095
ws,sysinfo,,,"gtk",1308930966095
locale,sysinfo,,,"en_US",1308930966095
processors,sysinfo,,,"2",1308930966095
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1308930966095
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1308930966095
java.specification.name,sysinfo,,,"Java Platform API Specification",1308930966096
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308930966096
java.specification.version,sysinfo,,,"1.6",1308930966096
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1308930966096
java.version,sysinfo,,,"1.6.0_20",1308930966096
java.vm.info,sysinfo,,,"mixed mode",1308930966096
java.vm.name,sysinfo,,,"OpenJDK Client VM",1308930966096
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308930966096
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308930966096
java.vm.specification.version,sysinfo,,,"1.0",1308930966096
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1308930966096
java.vm.version,sysinfo,,,"19.0-b09",1308930966096
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1308930966123
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1308930966155
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1308930966158
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1308930966168
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1308930966171
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1308930966181
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1308930966221
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1308930966225
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1308930966235
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1308930966291
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1308930966302
