what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928886921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928886963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928887088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928892567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928896209
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928896243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928896380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928902892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928905483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928905512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928905652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928913598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928915875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928915904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928916032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928925583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928928949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928928986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928929128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928945476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928948027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928948066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928948198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928953939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928956236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928956284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928956415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928963434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928965555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928965593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928965736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928978955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928981680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928981698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928981838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928991150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928993898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928993927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308928994426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929004204
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929005757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929005757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929005777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929008810
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929010083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929010083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929010106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929025800
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929026963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929026963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929026982
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929036065
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929037303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929037303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929037323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929045794
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929046908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929046908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929046938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929062666
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929064023
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929064023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929064044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929095245
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929097050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929097050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929097058
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929118663
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929120048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929120048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929120070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929127913
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929129550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929129551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929129559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929139401
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929140470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929140470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929140498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929148783
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929150094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929150095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929150124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929156967
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929158426
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929158426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929158458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929164864
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929166028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929166028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929166047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929169065
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929170259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929170282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929176705
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929177892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929177892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929177921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929185787
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929186927
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929186927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929186947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929192172
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929193310
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929193310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929193323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929201141
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929202217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929202218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929202228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929206778
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929208615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929208640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929211525
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929212502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929212537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929218792
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929220032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929220058
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929225200
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929226261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929226261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929226294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929237643
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929238828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929238828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929238841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929249552
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308929250488
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308929250488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929250502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1308929277149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929282784
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308929284394
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1308929284833
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1308929284834
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1308929284834
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1308929284835
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1308929284836
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1308929284836
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1308929284843
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1308929284844
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1308929284845
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1308929284845
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.traditional",1308929284845
stopped,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1308929284846
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1308929284846
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1308929284846
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1308929284846
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1308929284846
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1308929284846
stopped,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1308929284846
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1308929284847
stopped,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1308929284847
stopped,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1308929284860
